Stakes,Odds,Available,Num_Runners,Race_Type,Going,Days,Bet_Strength,Result
2,2.9,41,6,FLAT,GOOD/SOFT,33,2,LOSER
2,7.2,1589,10,HURDLE,FIRM,19,3,WINNER
2,1.04,169,14,HURDLE,HEAVY,6,2,WINNER
2,2.26,75,9,FLAT,FAST,15,2,LOSER
5,1.83,248,16,HURDLE,SOFT,14,4,LOSER
2,7.6,268,11,FLAT,GOOD ,39,2,LOSER
2,1.67,20,9,HURDLE,GOOD ,21,2,WINNER
2,9,260,19,FLAT,GOOD/FIRM,13,1,LOSER
5,3.3,339,17,FLAT,GOOD/FIRM,41,5,WINNER
2,1.81,1781,5,FLAT,FIRM,23,2,LOSER
5,8.6,88,18,HURDLE,GOOD/FIRM,20,4,LOSER
2,9.8,819,14,FLAT,GOOD/FIRM,17,2,LOSER
5,1.47,37,19,HURDLE,GOOD/FIRM,27,5,WINNER
2,2.62,282,9,HURDLE,GOOD ,13,2,WINNER
2,2.78,281,18,HURDLE,GOOD ,15,3,LOSER
2,2.94,1111,6,FLAT,GOOD/FIRM,57,3,WINNER
2,8.4,192,10,FLAT,GOOD ,15,3,LOSER
2,5.5,77,10,CHASE,FIRM,17,3,LOSER
5,3.7,132,11,FLAT,FAST,17,4,LOSER
2,1.32,2041,9,HURDLE,GOOD/SOFT,19,2,LOSER
2,5.7,511,7,FLAT,SOFT,11,2,LOSER
5,1.17,140,6,FLAT,GOOD ,51,4,WINNER
2,4.5,666,6,FLAT,GOOD/SOFT,16,1,WINNER
2,1.13,39,13,FLAT,FIRM,24,3,WINNER
2,1.46,1937,16,HURDLE,GOOD ,43,2,WINNER
2,1.81,257,13,HURDLE,GOOD/SOFT,52,2,WINNER
5,2.92,45,6,FLAT,FIRM,10,5,LOSER
2,1.35,156,10,CHASE,FAST,16,1,WINNER
2,5.6,1964,14,FLAT,HEAVY,21,2,LOSER
5,1.29,229,8,FLAT,GOOD/FIRM,57,4,LOSER
5,1.78,70,13,HURDLE,GOOD/SOFT,47,4,WINNER
5,1.74,1037,11,FLAT,GOOD/SOFT,5,5,LOSER
2,10,1256,12,FLAT,HEAVY,12,1,LOSER
2,4.3,523,7,FLAT,GOOD/FIRM,13,3,LOSER
5,2.56,1464,14,FLAT,GOOD ,17,4,LOSER
5,2.86,31,19,HURDLE,HEAVY,12,4,WINNER
5,3.55,137,6,FLAT,GOOD ,24,4,LOSER
2,8.2,27,8,FLAT,FIRM,14,3,LOSER
5,1.71,31,13,FLAT,FAST,17,5,LOSER
2,1.73,180,20,HURDLE,SOFT,16,1,LOSER
5,1.45,650,9,HURDLE,GOOD/SOFT,13,5,WINNER
2,2.54,47,8,FLAT,GOOD/SOFT,101,1,LOSER
5,1.79,179,10,FLAT,FAST,30,5,WINNER
2,2.84,80,8,FLAT,GOOD/FIRM,55,2,LOSER
2,1.07,319,7,CHASE,GOOD/SOFT,12,3,WINNER
2,250,62,21,FLAT,FAST,24,3,LOSER
2,1.05,347,10,HURDLE,SOFT,25,3,WINNER
2,8,85,9,CHASE,GOOD/SOFT,62,1,LOSER
2,1.63,5,20,FLAT,HEAVY,18,1,WINNER
2,1.74,685,10,FLAT,SOFT,52,3,WINNER
2,2.84,14,8,FLAT,FAST,43,3,LOSER
5,70,1606,9,FLAT,FAST,29,5,LOSER
5,1.61,84,6,FLAT,HEAVY,12,5,WINNER
2,1.51,338,11,FLAT,FAST,21,1,LOSER
2,1.1,144,11,FLAT,FAST,7,3,WINNER
5,800,334,7,FLAT,GOOD/SOFT,17,5,LOSER
2,1.04,783,13,FLAT,GOOD/SOFT,59,1,WINNER
2,1.44,26,22,FLAT,FIRM,65,2,WINNER
2,1.6,170,10,CHASE,FAST,43,3,WINNER
2,4.9,60,9,FLAT,FIRM,24,3,WINNER
2,19,226,12,FLAT,GOOD/SOFT,15,2,LOSER
2,1.12,62,5,CHASE,FIRM,30,1,WINNER
2,40,3,8,FLAT,GOOD/SOFT,20,1,LOSER
2,1.2,23,19,FLAT,GOOD/FIRM,66,1,WINNER
5,2.18,6,8,HURDLE,HEAVY,28,4,WINNER
2,3.8,1987,8,HURDLE,HEAVY,15,1,LOSER
5,6.6,136,12,HURDLE,HEAVY,50,5,WINNER
5,5.8,598,16,FLAT,GOOD/SOFT,9,5,LOSER
2,3.8,929,7,HURDLE,GOOD/FIRM,23,2,LOSER
2,1.68,37,6,HURDLE,FIRM,32,2,LOSER
2,9.8,31,7,HURDLE,GOOD/FIRM,18,2,LOSER
2,2.66,81,8,HURDLE,GOOD/FIRM,44,2,WINNER
2,2.92,135,5,FLAT,GOOD/FIRM,31,2,LOSER
2,1.36,75,13,FLAT,GOOD/SOFT,15,2,WINNER
5,1.11,811,8,CHASE,GOOD ,15,4,LOSER
2,3.35,1295,7,HURDLE,FAST,25,2,LOSER
2,1.8,776,14,HURDLE,FAST,11,3,LOSER
5,1.24,349,13,FLAT,GOOD/FIRM,23,5,WINNER
2,160,110,5,FLAT,FIRM,15,2,LOSER
5,16,146,11,HURDLE,FAST,7,5,LOSER
2,1.74,286,11,FLAT,FIRM,49,2,LOSER
5,4.8,13,13,CHASE,FIRM,55,5,LOSER
