,Stakes,Odds,Available,Num_Runners,Race_Type,Going,Days,Bet_Strength,Result,Profit
0,2,2.9,41,6,FLAT,GOOD/SOFT,33,2,LOSER,-2.0
1,2,7.2,1589,10,HURDLE,FIRM,19,3,WINNER,14.4
2,2,1.04,169,14,HURDLE,HEAVY,6,2,WINNER,2.08
3,2,2.26,75,9,FLAT,FAST,15,2,LOSER,-2.0
4,5,1.83,248,16,HURDLE,SOFT,14,4,LOSER,-5.0
5,2,7.6,268,11,FLAT,GOOD ,39,2,LOSER,-2.0
6,2,1.67,20,9,HURDLE,GOOD ,21,2,WINNER,3.34
7,2,9.0,260,19,FLAT,GOOD/FIRM,13,1,LOSER,-2.0
8,5,3.3,339,17,FLAT,GOOD/FIRM,41,5,WINNER,16.5
9,2,1.81,1781,5,FLAT,FIRM,23,2,LOSER,-2.0
10,5,8.6,88,18,HURDLE,GOOD/FIRM,20,4,LOSER,-5.0
11,2,9.8,819,14,FLAT,GOOD/FIRM,17,2,LOSER,-2.0
12,5,1.47,37,19,HURDLE,GOOD/FIRM,27,5,WINNER,7.35
13,2,2.62,282,9,HURDLE,GOOD ,13,2,WINNER,5.24
14,2,2.78,281,18,HURDLE,GOOD ,15,3,LOSER,-2.0
15,2,2.94,1111,6,FLAT,GOOD/FIRM,57,3,WINNER,5.88
16,2,8.4,192,10,FLAT,GOOD ,15,3,LOSER,-2.0
17,2,5.5,77,10,CHASE,FIRM,17,3,LOSER,-2.0
18,5,3.7,132,11,FLAT,FAST,17,4,LOSER,-5.0
19,2,1.32,2041,9,HURDLE,GOOD/SOFT,19,2,LOSER,-2.0
20,2,5.7,511,7,FLAT,SOFT,11,2,LOSER,-2.0
21,5,1.17,140,6,FLAT,GOOD ,51,4,WINNER,5.85
22,2,4.5,666,6,FLAT,GOOD/SOFT,16,1,WINNER,9.0
23,2,1.13,39,13,FLAT,FIRM,24,3,WINNER,2.26
24,2,1.46,1937,16,HURDLE,GOOD ,43,2,WINNER,2.92
25,2,1.81,257,13,HURDLE,GOOD/SOFT,52,2,WINNER,3.62
26,5,2.92,45,6,FLAT,FIRM,10,5,LOSER,-5.0
27,2,1.35,156,10,CHASE,FAST,16,1,WINNER,2.7
28,2,5.6,1964,14,FLAT,HEAVY,21,2,LOSER,-2.0
29,5,1.29,229,8,FLAT,GOOD/FIRM,57,4,LOSER,-5.0
30,5,1.78,70,13,HURDLE,GOOD/SOFT,47,4,WINNER,8.9
31,5,1.74,1037,11,FLAT,GOOD/SOFT,5,5,LOSER,-5.0
